Occupancy,FIRM,Total loss ratio (%),Foundation (%),Below First Floor (%),Structure Framing (%),Roof Covering (%),Roof Framing (%),Exterior Walls (%),Interiors (%)
IND1,0,60,0,0,0,5.9,0.72,3.1,50.28
IND1,0,70,0,0,0,6.31,0.87,4.04,58.77
IND1,0,80,0.04,0,0.01,6.91,1.33,5.78,65.93
IND1,0,90,3.66,0,0.65,8.33,2.73,7.47,67.17
IND1,0,100,4.08,0,0.72,8.75,3.04,8.34,75.02
IND1,1,0,0,0,0,0,0,0,0
IND1,1,10,0,0,0,3.19,0.18,0.53,6.09
IND1,1,20,0,0,0,4.15,0.35,0.89,14.61
IND1,1,30,0,0,0,4.8,0.49,1.37,23.34
IND1,1,40,0,0,0,5.54,0.58,1.87,32.01
IND1,1,50,0,0,0,5.77,0.65,2.46,41.12
IND1,1,60,0,0,0,6.19,0.75,2.92,50.14
IND1,1,70,0,0,0,6.62,0.91,3.82,58.65
IND1,1,80,0.05,0,0.01,7.25,1.4,5.46,65.83
IND1,1,90,5.13,0,0.45,8.61,2.82,6.94,66.05
IND1,1,100,5.84,0,0.51,8.75,3.21,7.9,73.75
IND2,0,0,0,0,0,0,0,0,0
IND2,0,10,0,0,0,4.29,0.53,0.59,4.59
IND2,0,20,0,0,0,5.98,1.08,1.12,11.81
IND2,0,30,0,0,0,7.19,1.55,1.8,19.46
IND2,0,40,0,0,0,8.34,1.87,2.42,27.36
IND2,0,50,0,0,0,8.94,2.23,3.18,35.65
IND2,0,60,0,0,0,9.72,2.7,3.94,43.64
IND2,0,70,0.01,0,0,10.41,3.39,5.26,50.93
IND2,0,80,0.48,0,0.15,11.19,4.76,7.05,56.37
IND2,0,90,3.87,0,0.97,11.24,5.64,8.14,60.15
IND2,0,100,4.67,0,1.17,11.25,6.8,9.82,66.25
IND2,1,0,0,0,0,0,0,0,0
IND2,1,10,0,0,0,4.43,0.55,0.55,4.47
IND2,1,20,0,0,0,6.22,1.13,1.06,11.59
IND2,1,30,0,0,0,7.51,1.62,1.71,19.16
IND2,1,40,0,0,0,8.73,1.96,2.3,27.01
IND2,1,50,0,0,0,9.37,2.34,3.03,35.26
IND2,1,60,0,0,0,10.2,2.83,3.76,43.21
IND2,1,70,0.01,0,0,10.93,3.56,5.02,50.47
IND2,1,80,0.67,0,0.12,11.25,5.03,6.77,56.16
IND2,1,90,5.37,0,0.76,11.25,5.87,7.7,59.06
IND2,1,100,7.14,0,1.01,11.25,7.81,10.25,62.5
IND3,0,0,0,0,0,0,0,0,0
IND3,0,10,0,0,0,3.93,0.46,0.59,5.02
IND3,0,20,0,0,0,5.29,0.91,1.1,12.7
IND3,0,30,0,0,0,6.2,1.28,1.77,20.75
IND3,0,40,0,0,0,7.2,1.49,2.19,29.12
IND3,0,50,0,0,0,7.56,1.71,2.93,37.81
IND3,0,60,0,0,0,8.17,2.02,3.56,46.24
IND3,0,70,0,0,0,8.76,2.48,4.68,54.08
IND3,0,80,0.16,0,0.06,9.48,3.74,6.6,59.96
IND3,0,90,2.53,0,0.92,9.59,4.59,7.76,64.61
IND3,0,100,2.83,0,1.03,10,5.13,8.69,72.31
IND3,1,0,0,0,0,0,0,0,0
IND3,1,10,0,0,0,4.06,0.48,0.55,4.91
IND3,1,20,0,0,0,5.5,0.95,1.04,12.52
IND3,1,30,0,0,0,6.46,1.33,1.68,20.53
IND3,1,40,0,0,0,7.51,1.56,2.08,28.85
IND3,1,50,0,0,0,7.9,1.79,2.78,37.53
IND3,1,60,0,0,0,8.55,2.12,3.39,45.94
IND3,1,70,0,0,0,9.17,2.6,4.46,53.77
IND3,1,80,0.25,0,0.05,9.92,3.92,6.28,59.59
IND3,1,90,3.81,0,0.72,9.93,4.75,7.3,63.49
IND3,1,100,4.58,0,0.86,10,5.72,8.79,70
IND4,0,0,0,0,0,0,0,0,0
IND4,0,10,0,0,0,1.48,0.68,0.64,7.2
IND4,0,20,0,0,0,1.79,1.22,1.01,15.98
IND4,0,30,0,0,0,2.04,1.64,1.5,24.81
